Food Name,Measure,Weight (g),Energy (kcal),Energy (kJ),Protein (g),Carbohydrate (g),Total Sugar (g),Total Fat (g),Saturated Fat (g),Cholesterol (mg),Calcium (mg),Iron (mg),Sodium (mg),Potassium (mg),Magnesium (mg),Phosphorus (mg),Vitamin A (RAE),Vitamin D (mcg),Folate (DFE),Vitamin B12 (mcg),Riboflavin (mg)
Buttermilk,250 mL,259,104,432,9,12,12,2,1.4,0.01,300,0.1,272,391,28,230,18,0.2,13,0.57,0.4
"Milk, chocolate, 1% M.F.",250 mL,264,166,695,9,28,26,3,1.6,0.008,304,0.6,161,449,34,272,153,2.6,13,0.9,0.44
"Milk, chocolate, 2% M.F.",250 mL,264,190,795,8,27,26,5,3.3,0.018,301,0.6,158,446,34,269,145,2.6,13,0.9,0.43
"Milk, skim",250 mL,259,88,368,9,13,13,0,0.2,0.005,324,0.1,109,404,28,261,158,2.7,13,1.37,0.47
"Milk, partly skimmed, 1% M.F.",250 mL,258,108,454,9,13,13,3,1.6,0.013,307,0.1,113,387,28,245,150,2.6,13,1.13,0.48
"Milk, partly skimmed, 2% M.F.",250 mL,258,129,539,9,12,13,5,3.3,0.021,302,0.1,106,387,28,242,142,2.8,13,1.19,0.48
"Milk, partly skimmed, 2% M.F., with added milk solids",250 mL,260,146,608,10,14,14,5,3.2,0.021,372,0.2,153,473,42,291,143,2.6,16,1.12,0.5
"Milk, whole, 3.3% M.F.",250 mL,258,155,647,8,12,14,8,5.4,0.026,291,0.1,103,369,26,235,72,2.7,13,1.13,0.47
"Soy beverage, chocolate, enriched",250 mL,257,162,673,6,26,20,4,0.6,0,323,1.2,136,367,38,131,180,2.6,29,1.8,0.67
"Soy beverage, original and vanilla, enriched",250 mL,257,110,465,7,13,9,4,0.5,0,316,1.1,120,313,38,110,142,2.7,23,2.19,0.47
"Soy beverage, unsweetened, enriched",250 mL,257,85,354,7,4,1,4,0.5,0,318,1.2,95,308,41,82,160,3.1,18,2.85,0.53
"Milk, condensed, sweetened, canned (Eagle Brand )",15 mL,19,62,260,2,11,11,2,1.1,0.007,55,0,25,72,5,49,14,,2,0.09,0.08
"Milk, evaporated, partly skimmed, canned, diluted, 2% M.F.",250 mL,258,122,512,10,15,13,3,1.6,0.01,369,0.3,149,422,35,264,104,2.9,11,0.28,0.41
"Milk, evaporated, partly skimmed, canned, undiluted, 2% M.F.",15 mL,16,15,62,1,2,2,0,0.2,0.001,44,0,18,51,4,32,12,0.3,1,0.03,0.05
"Milk, evaporated, skim, canned, diluted, 0.2% M.F.",250 mL,259,105,438,10,15,15,0,0.2,0.005,392,0.4,157,446,38,262,159,2.9,12,0.32,0.42
"Milk, evaporated, skim, canned, undiluted, 0.2% M.F.",15 mL,16,13,53,1,2,2,0,0,0.001,47,0,19,54,4,32,19,0.4,1,0.04,0.05
"Milk, evaporated, whole, canned, diluted, 7.8% M.F.",250 mL,258,178,744,9,13,13,10,6.3,0.039,349,0.3,143,403,33,270,86,2.9,11,0.21,0.42
"Milk, evaporated, whole, canned, undiluted, 7.8% M.F.",15 mL,16,21,89,1,2,2,1,0.8,0.005,42,0,17,48,4,32,10,0.3,1,0.03,0.05
"Milk, reconstituted, from skim milk powder",250 mL,259,86,360,8,13,13,0,0.1,0.004,301,0.1,137,410,30,237,170,2.6,12,0.96,0.42
Skim milk powder,5 mL,1,5,22,1,1,1,0,0,0,18,0,8,25,2,14,10,0.2,1,0.06,0.03
Eggnog,250 mL,268,362,1516,10,36,23,20,11.9,0.158,349,0.5,145,443,51,293,121,1.1,3,1.21,0.51
"Hot chocolate, aspartame sweetened, powder + water",250 mL,270,78,326,3,15,9,1,0,0,127,1.1,240,569,46,189,38,,3,0.35,0.29
"Hot chocolate, homemade with cocoa + 2% milk",250 mL,264,203,851,9,28,26,6,3.8,0.021,277,1.3,116,520,61,277,135,2.6,13,1.11,0.48
"Hot chocolate, powder + 2% milk",250 mL,264,255,1068,10,41,37,6,3.8,0.02,318,0.5,272,595,55,327,126,2.5,11,1.52,0.62
"Hot chocolate, powder + water",250 mL,291,160,669,2,34,30,2,0.9,0.003,64,0.5,206,285,35,125,0,,0,0.52,0.23
Instant breakfast powder + 2% milk,250 mL,280,260,1087,16,36,12,5,3.1,0.024,555,3.9,286,811,61,459,444,2.6,12,2.21,1.41
"Milk shake, chocolate",250 mL,249,296,1240,8,53,52,7,4.2,0.027,329,0.8,276,558,40,314,45,1,12,0.8,0.55
"Milk shake, vanilla",250 mL,249,279,1166,10,44,44,8,4.7,0.03,364,0.2,237,456,30,286,62,0.5,17,1.3,0.49
Drinkable yogourt,200 mL,207,145,607,5,24,24,3,2.1,0.012,191,0.2,81,257,23,157,,0.2,25,0.58,0.23
"Fresh cheese (Danimal , Minigo )",1,60,68,286,3,10,10,2,1.1,0.006,138,0.1,32,84,7,50,,,,,
"Kefir, plain",175 mL,165,104,433,6,7,6,6,3.8,0.025,187,0.1,70,250,19,148,58,0.2,23,0.33,0.3
Yogourt parfait with berries and granola,175 mL,188,233,973,7,40,3,5,2.7,0.014,208,2.2,119,337,36,201,23,0,40,0.59,0.31
"Yogourt, plain, 1-2% M.F.",175 mL,181,114,477,10,13,13,3,1.8,0.011,332,0.1,127,424,31,261,25,,20,1.01,0.39
"Yogourt, plain, 2-4% M.F.",175 mL,181,129,538,9,12,8,5,3.3,0.017,292,0.1,111,412,28,246,31,,21,1.03,0.42
"Yogourt, plain, fat-free",175 mL,189,79,332,8,11,9,0,0,0.006,253,0.1,113,368,26,215,,1.8,,0.89,0.32
