Food code,Main food description
11000000,milk
11100000,milk
11111000,milk
11111100,milk
11111150,milk
11111160,milk
11111170,milk
11112110,milk
11112120,milk
11112130,milk
11112210,milk
11113000,milk
11114300,milk
11114320,milk
11114330,milk
11114350,milk
11115000,milk
11115100,milk
11115200,milk
11115300,milk
11115400,"Kefir, NS as to fat content"
11116000,milk
11120000,milk
11121100,milk
11121210,milk
11121300,milk
11210050,milk
11211050,milk
11211400,milk
11212050,milk
11220000,milk
11320000,milk
11320100,milk
11320200,milk
11321000,milk
11321100,milk
11321200,milk
11340000,milk
11350000,milk
11350010,milk
11350020,milk
11350030,milk
11360000,milk
11370000,milk
11410000,milk
11411010,milk
11411100,milk
11411200,milk
11411300,milk
11411400,milk
11411410,milk
11411420,milk
11420000,milk
11421000,milk
11422000,milk
11422100,milk
11423000,milk
11424000,milk
11424500,milk
11424510,milk
11424520,milk
11425000,milk
11426000,milk
11427000,milk
11428000,milk
11430000,milk
11431000,milk
11432000,milk
11432500,milk
11433000,milk
11433500,milk
11434000,milk
11434010,milk
11434020,milk
11446000,milk
11459990,milk
11460000,milk
11460100,milk
11460150,milk
11460160,milk
11460170,milk
11460190,milk
11460200,milk
11460250,milk
11460300,milk
11460400,milk
11460410,milk
11460420,milk
11460430,milk
11460440,milk
11461000,milk
11461200,milk
11461250,milk
11461260,milk
11461270,milk
11461280,milk
11480010,milk
11480020,milk
11480030,milk
11480040,milk
11511000,milk
11511100,milk
11511200,milk
11511300,milk
11511400,milk
11511550,milk
11511600,milk
11511610,milk
11511700,milk
11512010,caffeinated drinks
11512020,caffeinated drinks
11512030,caffeinated drinks
11512100,caffeinated drinks
11512110,caffeinated drinks
11512120,caffeinated drinks
11513000,milk
11513100,milk
11513150,milk
11513200,milk
11513300,milk
11513310,milk
11513350,milk
11513355,milk
11513360,milk
11513365,milk
11513370,milk
11513375,milk
11513380,milk
11513381,milk
11513382,milk
11513383,milk
11513384,milk
11513385,milk
11513390,milk
11513391,milk
11513392,milk
11513393,milk
11513394,milk
11513395,milk
11513400,milk
11513500,milk
11513550,milk
11513600,milk
11513700,milk
11513750,milk
11513800,milk
11513801,milk
11513802,milk
11513803,milk
11513804,milk
11513805,milk
11513850,milk
11513851,milk
11513852,milk
11513853,milk
11513854,milk
11513855,milk
11514100,caffeinated drinks
11514110,caffeinated drinks
11514120,caffeinated drinks
11514130,caffeinated drinks
11514140,caffeinated drinks
11514150,caffeinated drinks
11514310,caffeinated drinks
11514320,caffeinated drinks
11514330,caffeinated drinks
11514340,caffeinated drinks
11514350,caffeinated drinks
11514360,caffeinated drinks
11519040,milk
